epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.99677718293001,2.91975,3.95131,2.5,0.18916,0.16872,0.08298,0.03003,2.8,3.39669,2.5,0.001,0.001,0.001
2,101.61994559749385,2.8204,3.85497,2.5,0.11009,0.14186,0.05738,0.01947,2.8,3.28729,2.5,0.001,0.001,0.001
3,146.91809744709474,2.75287,3.74428,2.5,0.23836,0.19162,0.12578,0.0419,2.8,3.17692,2.5,0.001,0.001,0.001
4,188.68341355856688,2.69039,3.62671,2.5,0.19639,0.18709,0.11224,0.04362,2.8,3.06278,2.5,0.001,0.001,0.001
5,237.17453012663483,2.5784,3.53487,2.43531,0.22574,0.23326,0.12807,0.04797,2.79598,2.94506,2.5,0.00099,0.00099,0.00099
6,284.14195705374357,2.50456,3.44513,2.38347,0.21171,0.23504,0.13819,0.05215,2.71021,2.85521,2.5,0.00099,0.00099,0.00099
7,333.6179231538822,2.46989,3.37719,2.35398,0.21854,0.21983,0.14038,0.05826,2.64364,2.72807,2.5,0.00099,0.00099,0.00099
8,381.793782162292,2.38549,3.24873,2.29742,0.21759,0.25725,0.1408,0.05133,2.53532,2.64416,2.4798,0.00098,0.00098,0.00098
9,432.0415457388887,2.29527,3.15941,2.24286,0.23248,0.30644,0.17968,0.06627,2.47565,2.55414,2.42515,0.00098,0.00098,0.00098
10,474.3653696810859,2.25259,3.06492,2.2569,0.30075,0.29441,0.20134,0.08059,2.39104,2.46977,2.3463,0.00098,0.00098,0.00098
11,525.9523400092576,2.17202,2.9432,2.14036,0.29689,0.27678,0.18894,0.07943,2.32066,2.38599,2.29974,0.00097,0.00097,0.00097
12,571.9403380327195,2.11389,2.89913,2.10251,0.34374,0.27305,0.20447,0.0864,2.27335,2.27512,2.23433,0.00097,0.00097,0.00097
13,627.3166423958459,2.07224,2.82177,2.05142,0.29972,0.29903,0.20782,0.08795,2.20515,2.18891,2.17327,0.00096,0.00096,0.00096
14,668.870703305398,1.97552,2.79346,1.99954,0.29044,0.33616,0.21848,0.08852,2.14368,2.15416,2.10729,0.00095,0.00095,0.00095
15,722.5505223212243,1.92777,2.6666,1.93596,0.05,0.05,0.05,0.01,2.09247,2.06606,2.0585,0.00095,0.00095,0.00095
16,768.5400762385376,1.90153,2.60526,1.91472,0.05,0.05,0.05,0.01,2.0172,1.97884,2.02683,0.00094,0.00094,0.00094
17,810.2829862204653,1.84496,2.52977,1.84282,0.05,0.05,0.05,0.01,1.97356,1.9451,1.97339,0.00093,0.00093,0.00093
18,852.8635570501937,1.82582,2.4407,1.81371,0.05,0.05,0.05,0.01,1.90749,1.85802,1.90354,0.00092,0.00092,0.00092
19,896.261820509222,1.75747,2.42281,1.77027,0.05,0.05,0.05,0.01,1.86807,1.81099,1.87389,0.00091,0.00091,0.00091
20,943.3826502412317,1.70521,2.35309,1.74447,0.05,0.05,0.05,0.01,1.81447,1.7338,1.83966,0.00091,0.00091,0.00091
21,990.9968276814092,1.72225,2.29409,1.75325,0.05,0.05,0.05,0.01059,1.77315,1.70556,1.76106,0.0009,0.0009,0.0009
22,1033.1283276617162,1.64949,2.20236,1.63498,0.05,0.05,0.05,0.01,1.73787,1.64511,1.75363,0.00089,0.00089,0.00089
23,1078.0065547004112,1.61794,2.19286,1.65261,0.05,0.05,0.05,0.01,1.67579,1.56138,1.69651,0.00088,0.00088,0.00088
24,1133.7179064934705,1.55216,2.08295,1.57434,0.05,0.05,0.05,0.01,1.68037,1.52812,1.6775,0.00086,0.00086,0.00086
25,1187.3556223439741,1.53524,2.07075,1.56597,0.05,0.05,0.05,0.01343,1.59654,1.47368,1.62146,0.00086,0.00086,0.00086
26,1234.5372406923443,1.51516,2.05264,1.56708,0.05,0.05,0.05,0.01,1.5577,1.43693,1.57122,0.00084,0.00084,0.00084
27,1279.7272580831852,1.45805,1.94057,1.51751,0.05,0.05,0.05,0.01,1.55915,1.35619,1.54062,0.00083,0.00083,0.00083
28,1325.3274147167765,1.45796,1.90226,1.4666,0.05,0.05,0.05,0.01161,1.52101,1.33701,1.53379,0.00082,0.00082,0.00082
29,1373.3950045804286,1.40901,1.8704,1.44674,0.05,0.05,0.05,0.01845,1.48729,1.30038,1.50626,0.00081,0.00081,0.00081
30,1413.2810417544365,1.38691,1.81471,1.44846,0.05,0.05,0.05,0.01127,1.45753,1.21756,1.4593,0.00079,0.00079,0.00079
31,1456.9941590673197,1.35355,1.75164,1.39499,0.05,0.05,0.05,0.01,1.4194,1.18722,1.4541,0.00078,0.00078,0.00078
32,1493.6512386979318,1.37653,1.74335,1.38952,0.05,0.05,0.05,0.02324,1.37886,1.13693,1.39237,0.00077,0.00077,0.00077
33,1540.6473543109582,1.31414,1.68146,1.36253,0.05,0.05,0.05,0.01,1.36739,1.12751,1.39013,0.00076,0.00076,0.00076
34,1588.883334009472,1.26917,1.67425,1.32583,0.05,0.05,0.05,0.01,1.33118,1.10774,1.34782,0.00074,0.00074,0.00074
35,1631.4674016979752,1.28362,1.60976,1.35977,0.05,0.05,0.05,0.02017,1.33215,1.08631,1.33206,0.00073,0.00073,0.00073
36,1684.3373355144254,1.22052,1.62379,1.30835,0.05,0.05,0.05,0.01709,1.29254,1.03297,1.31934,0.00071,0.00071,0.00071
37,1723.2085071994136,1.22774,1.54298,1.23468,0.05,0.05,0.05,0.01626,1.26059,1.02563,1.28342,0.0007,0.0007,0.0007
